Date,Open
07/30/2015,204.81
07/31/2015,203.85
08/01/2015,203.5
08/02/2015,203.5
08/03/2015,203.5
08/04/2015,214.86
08/05/2015,216.25
08/06/2015,213.04
08/07/2015,215.61
08/08/2015,218.85
08/09/2015,218.85
08/10/2015,218.85
08/11/2015,215.41
08/12/2015,216.98
08/13/2015,218.71
08/14/2015,218.8
08/15/2015,221.6
08/16/2015,221.6
08/17/2015,221.6
08/18/2015,217.73
08/19/2015,218.62
08/20/2015,209.59
08/21/2015,204.0
08/22/2015,196.06
08/23/2015,196.06
08/24/2015,196.06
08/25/2015,196.03
08/26/2015,201.14
08/27/2015,200.87
08/28/2015,200.99
08/29/2015,198.7
08/30/2015,198.7
08/31/2015,198.7
09/01/2015,196.04
09/02/2015,197.02
09/03/2015,198.37
09/04/2015,195.43
09/05/2015,201.25
09/06/2015,201.25
09/07/2015,201.25
09/08/2015,201.25
09/09/2015,198.34
09/10/2015,198.41
09/11/2015,201.14
09/12/2015,200.95
09/13/2015,200.95
09/14/2015,200.95
09/15/2015,207.95
09/16/2015,209.87
09/17/2015,209.9
09/18/2015,206.68
09/19/2015,208.5
09/20/2015,208.5
09/21/2015,208.5
09/22/2015,207.07
09/23/2015,208.28
09/24/2015,205.19
09/25/2015,205.19
09/26/2015,195.28
09/27/2015,195.28
09/28/2015,195.28
09/29/2015,194.72
09/30/2015,196.47
10/01/2015,199.3
10/02/2015,198.84
10/03/2015,200.99
10/04/2015,200.99
10/05/2015,200.99
10/06/2015,197.58
10/07/2015,199.58
10/08/2015,199.53
10/09/2015,205.25
10/10/2015,206.11
10/11/2015,206.11
10/12/2015,206.11
10/13/2015,199.38
10/14/2015,196.75
10/15/2015,199.79
10/16/2015,203.11
10/17/2015,203.73
10/18/2015,203.73
10/19/2015,203.73
10/20/2015,197.11
10/21/2015,190.36
10/22/2015,194.92
10/23/2015,188.18
10/24/2015,196.26
10/25/2015,196.26
10/26/2015,196.26
10/27/2015,168.24
10/28/2015,178.85
10/29/2015,174.38
10/30/2015,172.07
10/31/2015,176.16
11/01/2015,176.16
11/02/2015,176.16
11/03/2015,177.12
11/04/2015,180.23
11/05/2015,176.92
11/06/2015,177.65
11/07/2015,174.86
11/08/2015,174.86
11/09/2015,174.86
11/10/2015,174.45
11/11/2015,174.85
11/12/2015,172.72
11/13/2015,168.87
11/14/2015,171.58
11/15/2015,171.58
11/16/2015,171.58
11/17/2015,171.93
