"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2022","365.91","356.01","369.53","343.71","516.01K","3.31%"
"Apr 29, 2022","354.17","393.00","410.00","353.00","547.98K","-11.57%"
"Apr 28, 2022","400.49","393.00","404.00","369.88","392.42K","3.81%"
"Apr 27, 2022","385.78","393.20","405.96","383.65","270.29K","-1.34%"
"Apr 26, 2022","391.01","426.00","427.43","390.34","374.90K","-8.64%"
"Apr 25, 2022","428.00","405.08","428.00","403.98","329.31K","4.63%"
"Apr 22, 2022","409.08","424.92","436.98","408.00","319.71K","-4.39%"
"Apr 21, 2022","427.86","461.02","471.87","425.80","382.86K","-4.71%"
"Apr 20, 2022","449.03","476.60","477.28","446.45","249.25K","-4.69%"
"Apr 19, 2022","471.14","450.00","471.17","443.00","253.08K","5.66%"
"Apr 18, 2022","445.89","447.80","452.16","431.31","249.89K","-0.73%"
"Apr 14, 2022","449.19","464.02","469.75","446.43","256.70K","-3.10%"
"Apr 13, 2022","463.58","441.25","466.59","441.25","225.31K","4.54%"
"Apr 12, 2022","443.45","448.00","476.07","437.49","457.03K","1.62%"
"Apr 11, 2022","436.39","441.22","447.51","425.03","317.45K","-3.72%"
"Apr 08, 2022","453.24","459.08","470.60","452.81","274.85K","-2.24%"
"Apr 07, 2022","463.61","455.50","467.70","446.00","304.91K","1.87%"
"Apr 06, 2022","455.11","472.92","476.85","447.60","430.68K","-6.60%"
"Apr 05, 2022","487.28","508.57","508.57","471.22","416.20K","-2.79%"
"Apr 04, 2022","501.26","491.72","503.30","488.55","230.16K","2.09%"
"Apr 01, 2022","490.98","489.56","498.00","478.80","270.78K","0.96%"
"Mar 31, 2022","486.32","504.93","506.55","485.61","296.35K","-2.87%"
"Mar 30, 2022","500.69","506.20","516.00","497.04","275.99K","-3.71%"
"Mar 29, 2022","520.00","510.00","522.80","495.37","341.85K","1.96%"
"Mar 28, 2022","510.00","496.04","512.33","488.00","422.05K","7.95%"
"Mar 25, 2022","472.42","493.70","493.93","460.93","412.68K","-2.38%"
"Mar 24, 2022","483.92","459.66","484.73","451.00","439.00K","7.37%"
"Mar 23, 2022","450.69","455.16","470.30","447.00","253.65K","-2.01%"
"Mar 22, 2022","459.95","450.16","467.70","448.83","434.39K","5.38%"
"Mar 21, 2022","436.48","451.07","454.50","430.29","350.24K","-3.92%"
"Mar 18, 2022","454.28","435.82","456.90","431.92","710.38K","4.65%"
"Mar 17, 2022","434.09","427.98","442.10","425.00","339.79K","1.24%"
"Mar 16, 2022","428.78","400.17","429.49","398.74","569.39K","8.24%"
"Mar 15, 2022","396.14","369.07","396.15","363.20","378.01K","7.09%"
"Mar 14, 2022","369.93","389.95","392.88","363.91","493.19K","-5.35%"
"Mar 11, 2022","390.82","427.00","429.18","390.49","353.88K","-7.20%"
"Mar 10, 2022","421.13","415.00","422.98","406.47","289.19K","-3.58%"
"Mar 09, 2022","436.75","442.00","454.45","434.24","453.96K","6.43%"
"Mar 08, 2022","410.36","394.98","425.00","393.61","440.74K","5.52%"
"Mar 07, 2022","388.91","415.10","425.00","388.43","464.82K","-5.23%"
"Mar 04, 2022","410.36","425.00","433.62","407.06","341.06K","-4.28%"
"Mar 03, 2022","428.70","455.10","460.15","426.12","317.79K","-6.66%"
"Mar 02, 2022","459.29","454.82","469.69","450.93","402.07K","-1.17%"
"Mar 01, 2022","464.73","465.12","473.05","449.69","647.92K","4.91%"
"Feb 28, 2022","443.00","401.57","447.12","401.57","580.77K","9.38%"
"Feb 25, 2022","405.00","403.00","412.00","392.58","406.99K","2.03%"
"Feb 24, 2022","396.96","340.24","399.40","336.84","727.86K","8.75%"
"Feb 23, 2022","365.03","390.50","393.20","363.00","357.21K","-3.35%"
"Feb 22, 2022","377.70","375.81","390.00","368.04","466.28K","-4.61%"
"Feb 18, 2022","395.97","404.59","407.46","385.22","469.42K","-2.13%"
"Feb 17, 2022","404.60","420.23","423.30","401.88","369.01K","-6.98%"
