Date,Open
07/30/2015,3.4
07/31/2015,3.5384
08/01/2015,3.52
08/02/2015,3.52
08/03/2015,3.52
08/04/2015,3.3304
08/05/2015,3.288
08/06/2015,3.16
08/07/2015,3.1288
08/08/2015,3.2
08/09/2015,3.2
08/10/2015,3.2
08/11/2015,3.28
08/12/2015,3.28
08/13/2015,3.3488
08/14/2015,3.2792
08/15/2015,3.3176
08/16/2015,3.3176
08/17/2015,3.3176
08/18/2015,3.28
08/19/2015,3.2568
08/20/2015,3.2
08/21/2015,3.2392
08/22/2015,3.0776
08/23/2015,3.0776
08/24/2015,3.0776
08/25/2015,3.1872
08/26/2015,3.12
08/27/2015,3.1768
08/28/2015,3.232
08/29/2015,3.4
08/30/2015,3.4
08/31/2015,3.4
09/01/2015,3.28
09/02/2015,3.416
09/03/2015,3.36
09/04/2015,3.384
09/05/2015,3.424
09/06/2015,3.424
09/07/2015,3.424
09/08/2015,3.424
09/09/2015,3.3432
09/10/2015,3.2016
09/11/2015,3.3128
09/12/2015,3.2016
09/13/2015,3.2016
09/14/2015,3.2016
09/15/2015,3.2
09/16/2015,3.096
09/17/2015,3.28
09/18/2015,3.28
09/19/2015,3.2272
09/20/2015,3.2272
09/21/2015,3.2272
09/22/2015,3.0384
09/23/2015,2.88
09/24/2015,2.96
09/25/2015,2.8
09/26/2015,2.64
09/27/2015,2.64
09/28/2015,2.64
09/29/2015,2.576
09/30/2015,2.456
10/01/2015,2.6712
10/02/2015,2.7192
10/03/2015,2.592
10/04/2015,2.592
10/05/2015,2.592
10/06/2015,2.68
10/07/2015,2.6408
10/08/2015,2.64
10/09/2015,2.6
10/10/2015,2.544
10/11/2015,2.544
10/12/2015,2.544
10/13/2015,2.256
10/14/2015,2.24
10/15/2015,2.4
10/16/2015,2.3192
10/17/2015,2.3192
10/18/2015,2.3192
10/19/2015,2.3192
10/20/2015,2.16
10/21/2015,2.2392
10/22/2015,2.384
10/23/2015,2.28
10/24/2015,2.24
10/25/2015,2.24
10/26/2015,2.24
10/27/2015,2.168
10/28/2015,2.24
10/29/2015,2.28
10/30/2015,2.28
10/31/2015,2.28
11/01/2015,2.28
11/02/2015,2.28
11/03/2015,2.48
11/04/2015,2.48
11/05/2015,2.248
11/06/2015,2.248
11/07/2015,2.24
11/08/2015,2.24
11/09/2015,2.24
11/10/2015,2.24
11/11/2015,2.4
11/12/2015,2.48
11/13/2015,2.32
11/14/2015,2.24
11/15/2015,2.24
11/16/2015,2.24
11/17/2015,2.12
11/18/2015,2.248
11/19/2015,2.3784
11/20/2015,2.352
11/21/2015,2.4
11/22/2015,2.4
11/23/2015,2.4
11/24/2015,2.6392
11/25/2015,2.64
11/26/2015,2.656
11/27/2015,2.656
11/28/2015,2.816
11/29/2015,2.816
11/30/2015,2.816
12/01/2015,2.8
12/02/2015,2.5608
12/03/2015,2.504
12/04/2015,2.48
12/05/2015,2.4792
12/06/2015,2.4792
12/07/2015,2.4792
12/08/2015,2.5592
12/09/2015,2.5488
12/10/2015,2.56
12/11/2015,2.576
12/12/2015,2.48
12/13/2015,2.48
12/14/2015,2.48
12/15/2015,2.56
12/16/2015,2.5496
12/17/2015,2.48
12/18/2015,2.56
12/19/2015,2.4792
12/20/2015,2.4792
12/21/2015,2.4792
12/22/2015,2.56
12/23/2015,2.48
12/24/2015,2.4
12/25/2015,2.3816
12/26/2015,2.3816
12/27/2015,2.3816
12/28/2015,2.3816
12/29/2015,2.4552
12/30/2015,2.416
12/31/2015,2.436
01/01/2016,2.4056
01/02/2016,2.4056
01/03/2016,2.4056
01/04/2016,2.4056
01/05/2016,2.52
01/06/2016,2.32
01/07/2016,2.2856
01/08/2016,2.3216
01/09/2016,2.1784
01/10/2016,2.1784
01/11/2016,2.1784
01/12/2016,1.9928
01/13/2016,1.84
01/14/2016,1.96
01/15/2016,1.76
01/16/2016,1.8632
01/17/2016,1.8632
01/18/2016,1.8632
01/19/2016,1.8632
01/20/2016,1.92
01/21/2016,1.8376
01/22/2016,1.8792
01/23/2016,1.9608
01/24/2016,1.9608
01/25/2016,1.9608
01/26/2016,2.0
01/27/2016,2.3184
01/28/2016,2.104
01/29/2016,2.12
01/30/2016,2.1584
01/31/2016,2.1584
02/01/2016,2.1584
02/02/2016,2.0
02/03/2016,2.1592
02/04/2016,2.312
02/05/2016,2.0992
02/06/2016,2.0
02/07/2016,2.0
02/08/2016,2.0
02/09/2016,1.888
02/10/2016,1.92
02/11/2016,1.76
02/12/2016,1.7424
02/13/2016,1.744
02/14/2016,1.744
02/15/2016,1.744
02/16/2016,1.744
02/17/2016,1.7048
02/18/2016,1.8008
02/19/2016,1.688
02/20/2016,1.904
02/21/2016,1.904
02/22/2016,1.904
02/23/2016,1.7808
02/24/2016,1.8264
02/25/2016,1.72
02/26/2016,1.68
02/27/2016,1.6808
02/28/2016,1.6808
02/29/2016,1.6808
03/01/2016,1.644
03/02/2016,1.7208
03/03/2016,1.8808
03/04/2016,1.76
03/05/2016,1.8448
03/06/2016,1.8448
03/07/2016,1.8448
03/08/2016,1.76
03/09/2016,1.76
03/10/2016,1.68
03/11/2016,1.6208
03/12/2016,1.784
03/13/2016,1.784
03/14/2016,1.784
03/15/2016,1.7688
03/16/2016,2.264
03/17/2016,2.216
03/18/2016,2.2856
03/19/2016,2.312
03/20/2016,2.312
03/21/2016,2.312
03/22/2016,2.4696
03/23/2016,2.24
03/24/2016,2.4008
03/25/2016,2.4
03/26/2016,2.4
03/27/2016,2.4
03/28/2016,2.4
03/29/2016,2.4
03/30/2016,2.4
03/31/2016,2.7
04/01/2016,2.63
04/02/2016,2.9499
04/03/2016,2.9499
04/04/2016,2.9499
04/05/2016,3.02
04/06/2016,2.98
04/07/2016,2.99
04/08/2016,2.97
04/09/2016,3.0401
04/10/2016,3.0401
04/11/2016,3.0401
04/12/2016,3.04
04/13/2016,2.99
04/14/2016,3.0044
04/15/2016,3.03
04/16/2016,2.98
04/17/2016,2.98
04/18/2016,2.98
04/19/2016,3.1
04/20/2016,3.08
04/21/2016,3.02
04/22/2016,3.0699
04/23/2016,2.91
04/24/2016,2.91
04/25/2016,2.91
04/26/2016,3.06
04/27/2016,3.02
04/28/2016,3.0
04/29/2016,3.09
04/30/2016,2.94
05/01/2016,2.94
05/02/2016,2.94
05/03/2016,2.95
05/04/2016,2.8899
05/05/2016,2.88
05/06/2016,2.81
05/07/2016,2.83
05/08/2016,2.83
05/09/2016,2.83
05/10/2016,3.1071
05/11/2016,3.12
05/12/2016,3.01
05/13/2016,3.2
05/14/2016,3.59
05/15/2016,3.59
05/16/2016,3.59
05/17/2016,4.43
05/18/2016,3.63
05/19/2016,3.97
05/20/2016,3.66
05/21/2016,3.54
05/22/2016,3.54
05/23/2016,3.54
05/24/2016,3.4
05/25/2016,3.47
05/26/2016,3.44
05/27/2016,3.38
05/28/2016,3.34
05/29/2016,3.34
05/30/2016,3.34
05/31/2016,3.34
06/01/2016,3.42
06/02/2016,3.69
06/03/2016,3.581
06/04/2016,3.74
06/05/2016,3.74
06/06/2016,3.74
06/07/2016,3.61
06/08/2016,3.71
06/09/2016,3.64
06/10/2016,3.5
06/11/2016,3.31
06/12/2016,3.31
06/13/2016,3.31
06/14/2016,3.3001
06/15/2016,3.38
06/16/2016,3.26
06/17/2016,3.5101
06/18/2016,3.59
06/19/2016,3.59
06/20/2016,3.59
06/21/2016,3.61
06/22/2016,3.52
06/23/2016,3.6
06/24/2016,3.48
06/25/2016,3.21
06/26/2016,3.21
06/27/2016,3.21
06/28/2016,3.2201
06/29/2016,3.42
06/30/2016,3.51
07/01/2016,3.49
07/02/2016,3.49
07/03/2016,3.49
07/04/2016,3.49
07/05/2016,3.49
07/06/2016,3.44
07/07/2016,3.4817
07/08/2016,3.49
07/09/2016,3.45
07/10/2016,3.45
07/11/2016,3.45
07/12/2016,3.39
07/13/2016,3.639
07/14/2016,3.43
07/15/2016,3.64
07/16/2016,3.536
07/17/2016,3.536
07/18/2016,3.536
07/19/2016,3.46
07/20/2016,3.46
07/21/2016,3.55
07/22/2016,3.59
07/23/2016,3.55
07/24/2016,3.55
07/25/2016,3.55
07/26/2016,3.41
07/27/2016,3.45
07/28/2016,3.32
07/29/2016,3.37
07/30/2016,3.3451
07/31/2016,3.3451
08/01/2016,3.3451
08/02/2016,3.29
08/03/2016,3.2001
08/04/2016,3.19
08/05/2016,3.1573
08/06/2016,3.18
08/07/2016,3.18
08/08/2016,3.18
08/09/2016,3.16
08/10/2016,3.22
08/11/2016,3.29
08/12/2016,3.16
08/13/2016,3.2
08/14/2016,3.2
08/15/2016,3.2
08/16/2016,3.27
08/17/2016,3.1899
08/18/2016,3.11
08/19/2016,3.12
08/20/2016,3.1
08/21/2016,3.1
08/22/2016,3.1
08/23/2016,3.39
08/24/2016,3.35
08/25/2016,3.31
08/26/2016,3.27
08/27/2016,3.58
08/28/2016,3.58
08/29/2016,3.58
08/30/2016,3.64
08/31/2016,3.64
09/01/2016,3.8601
09/02/2016,3.76
09/03/2016,3.8292
09/04/2016,3.8292
09/05/2016,3.8292
09/06/2016,3.8292
09/07/2016,3.8
09/08/2016,3.98
09/09/2016,3.94
09/10/2016,4.11
09/11/2016,4.11
09/12/2016,4.11
09/13/2016,4.36
09/14/2016,3.73
09/15/2016,4.19
09/16/2016,4.48
09/17/2016,4.54
09/18/2016,4.54
09/19/2016,4.54
09/20/2016,3.7
09/21/2016,3.78
09/22/2016,3.67
09/23/2016,3.57
09/24/2016,3.22
09/25/2016,3.22
09/26/2016,3.22
09/27/2016,3.17
09/28/2016,3.07
09/29/2016,2.94
09/30/2016,3.03
10/01/2016,2.79
10/02/2016,2.79
10/03/2016,2.79
10/04/2016,2.73
10/05/2016,2.74
10/06/2016,2.67
10/07/2016,2.65
10/08/2016,2.57
10/09/2016,2.57
10/10/2016,2.57
10/11/2016,2.4
10/12/2016,2.31
10/13/2016,2.32
10/14/2016,2.4
10/15/2016,2.5
10/16/2016,2.5
10/17/2016,2.5
10/18/2016,2.72
10/19/2016,2.76
10/20/2016,2.77
10/21/2016,2.76
10/22/2016,2.82
10/23/2016,2.82
10/24/2016,2.82
10/25/2016,2.71
10/26/2016,2.92
10/27/2016,2.56
10/28/2016,2.65
10/29/2016,2.7
10/30/2016,2.7
10/31/2016,2.7
11/01/2016,2.725
11/02/2016,2.44
11/03/2016,2.54
11/04/2016,2.41
11/05/2016,2.74
11/06/2016,2.74
11/07/2016,2.74
11/08/2016,2.63
11/09/2016,2.52
11/10/2016,2.58
11/11/2016,2.66
11/12/2016,2.73
11/13/2016,2.73
11/14/2016,2.73
11/15/2016,2.67
11/16/2016,2.97
11/17/2016,2.85
11/18/2016,2.81
11/19/2016,2.82
11/20/2016,2.82
11/21/2016,2.82
11/22/2016,2.8
11/23/2016,2.75
11/24/2016,2.8
11/25/2016,2.8
11/26/2016,2.93
11/27/2016,2.93
11/28/2016,2.93
11/29/2016,2.9
11/30/2016,3.0
12/01/2016,4.4
12/02/2016,4.05
12/03/2016,4.11
12/04/2016,4.11
12/05/2016,4.11
12/06/2016,4.24
12/07/2016,4.23
12/08/2016,3.95
12/09/2016,3.94
12/10/2016,4.19
12/11/2016,4.19
12/12/2016,4.19
12/13/2016,3.53
12/14/2016,3.8954
12/15/2016,3.63
12/16/2016,3.76
12/17/2016,3.64
12/18/2016,3.64
12/19/2016,3.64
12/20/2016,3.65
12/21/2016,3.8
12/22/2016,3.6
12/23/2016,3.53
12/24/2016,3.5
12/25/2016,3.5
12/26/2016,3.5
12/27/2016,3.5
12/28/2016,3.48
12/29/2016,3.56
12/30/2016,3.84
12/31/2016,3.82
01/01/2017,3.82
01/02/2017,3.82
01/03/2017,3.82
01/04/2017,4.38
01/05/2017,4.14
01/06/2017,4.2
01/07/2017,3.76
01/08/2017,3.76
01/09/2017,3.76
01/10/2017,3.63
01/11/2017,3.69
01/12/2017,3.65
01/13/2017,3.66
01/14/2017,3.53
01/15/2017,3.53
01/16/2017,3.53
01/17/2017,3.53
01/18/2017,3.48
01/19/2017,3.42
01/20/2017,3.43
01/21/2017,3.3666
01/22/2017,3.3666
01/23/2017,3.3666
01/24/2017,3.1
01/25/2017,3.22
01/26/2017,3.1
01/27/2017,3.11
01/28/2017,3.1181
01/29/2017,3.1181
01/30/2017,3.1181
01/31/2017,3.15
02/01/2017,3.25
02/02/2017,3.1384
02/03/2017,3.13
02/04/2017,3.23
02/05/2017,3.23
02/06/2017,3.23
02/07/2017,3.4
02/08/2017,3.1848
02/09/2017,3.4
02/10/2017,3.38
02/11/2017,3.25
02/12/2017,3.25
02/13/2017,3.25
02/14/2017,3.21
02/15/2017,3.32
02/16/2017,3.22
02/17/2017,3.28
02/18/2017,3.2
02/19/2017,3.2
02/20/2017,3.2
02/21/2017,3.2
02/22/2017,3.15
02/23/2017,3.18
02/24/2017,3.15
02/25/2017,3.24
02/26/2017,3.24
02/27/2017,3.24
02/28/2017,3.08
03/01/2017,3.14
03/02/2017,3.12
03/03/2017,3.13
03/04/2017,3.13
03/05/2017,3.13
03/06/2017,3.13
03/07/2017,3.12
03/08/2017,3.12
03/09/2017,3.25
03/10/2017,3.44
03/11/2017,3.53
03/12/2017,3.53
03/13/2017,3.53
03/14/2017,3.45
03/15/2017,3.56
03/16/2017,3.56
03/17/2017,3.34
03/18/2017,3.31
03/19/2017,3.31
03/20/2017,3.31
03/21/2017,3.2
03/22/2017,3.49
03/23/2017,3.33
03/24/2017,3.37
03/25/2017,3.48
03/26/2017,3.48
03/27/2017,3.48
03/28/2017,3.51
03/29/2017,4.0131
03/30/2017,3.95
03/31/2017,4.0
04/01/2017,3.87
04/02/2017,3.87
04/03/2017,3.87
04/04/2017,3.91
04/05/2017,3.81
04/06/2017,4.14
04/07/2017,4.02
04/08/2017,4.18
04/09/2017,4.18
04/10/2017,4.18
04/11/2017,4.13
04/12/2017,4.13
04/13/2017,4.02
04/14/2017,4.15
04/15/2017,4.15
04/16/2017,4.15
04/17/2017,4.15
04/18/2017,3.93
04/19/2017,3.99
04/20/2017,3.86
04/21/2017,3.81
04/22/2017,3.85
04/23/2017,3.85
04/24/2017,3.85
04/25/2017,3.76
04/26/2017,3.76
04/27/2017,3.72
04/28/2017,3.65
04/29/2017,3.66
04/30/2017,3.66
05/01/2017,3.66
05/02/2017,3.76
05/03/2017,3.75
05/04/2017,3.71
05/05/2017,3.76
05/06/2017,3.74
05/07/2017,3.74
05/08/2017,3.74
05/09/2017,3.79
05/10/2017,3.65
05/11/2017,3.54
05/12/2017,3.62
05/13/2017,3.7
05/14/2017,3.7
05/15/2017,3.7
05/16/2017,3.5
05/17/2017,3.42
05/18/2017,3.63
05/19/2017,3.63
05/20/2017,3.65
05/21/2017,3.65
05/22/2017,3.65
05/23/2017,3.59
05/24/2017,3.52
05/25/2017,3.63
05/26/2017,3.62
05/27/2017,3.705
05/28/2017,3.705
05/29/2017,3.705
05/30/2017,3.705
05/31/2017,3.89
06/01/2017,3.8
06/02/2017,3.91
06/03/2017,3.95
06/04/2017,3.95
06/05/2017,3.95
06/06/2017,3.93
06/07/2017,3.95
06/08/2017,4.01
06/09/2017,4.0
06/10/2017,3.98
06/11/2017,3.98
06/12/2017,3.98
06/13/2017,4.02
06/14/2017,3.93
06/15/2017,4.03
06/16/2017,3.59
06/17/2017,4.0
06/18/2017,4.0
06/19/2017,4.0
06/20/2017,4.01
06/21/2017,3.901
06/22/2017,3.94
06/23/2017,3.94
06/24/2017,4.009
06/25/2017,4.009
06/26/2017,4.009
06/27/2017,4.0
06/28/2017,3.99
06/29/2017,3.99
06/30/2017,4.08
07/01/2017,3.87
07/02/2017,3.87
07/03/2017,3.87
07/04/2017,3.92
07/05/2017,3.92
07/06/2017,3.9
07/07/2017,3.96
