Date(UTC),UnixTimeStamp,Difficulty,BlockSize,TxFeeUSD,PriceEthUsd,PriceBtcUsd,ERC20Transfer,ERC20Addr,GtrendsEth,Gold,SP500,TickerRIOT,TickerMSTR
7/30/2015,1438214400,0.121,644,0,0,289.102997,0,0,0,1088.7,2106.78,3.4,204.81
7/31/2015,1438300800,0.603,582,0,0,287.696014,0,0,0,1095.1,2111.6,3.5384,203.85
8/1/2015,1438387200,0.887,575,0,0,284.686005,0,0,0,1089.4,2104.49,3.52,203.5
8/2/2015,1438473600,1.02,581,0,0,280.449005,0,0,0,1089.4,2104.49,3.52,203.5
8/3/2015,1438560000,1.126,587,0,0,282.806,0,0,0,1089.4,2104.49,3.52,203.5
8/4/2015,1438646400,1.217,587,0,0,281.225006,0,0,0,1090.7,2097.68,3.3304,214.86
8/5/2015,1438732800,1.328,579,0,0,284.846985,0,0,0,1085.6,2095.27,3.288,216.25
8/6/2015,1438819200,1.381,584,0,0,281.906006,0,0,0,1090.1,2100.75,3.16,213.04
8/7/2015,1438905600,1.471,633,0.05,2.77,278.740997,0,0,0,1094.1,2082.61,3.1288,215.61
8/8/2015,1438992000,1.586,668,0.02,0.81,279.742004,0,0,0,1104.1,2080.98,3.2,218.85
8/9/2015,1439078400,1.709,618,0.01,0.74,261.115997,0,0,0,1104.1,2080.98,3.2,218.85
8/10/2015,1439164800,1.838,631,0.01,0.68,265.477997,0,0,0,1104.1,2080.98,3.2,218.85
8/11/2015,1439251200,2.036,692,0,1.06,264.34201,0,0,0,1107.7,2102.66,3.28,215.41
8/12/2015,1439337600,2.207,653,0.02,1.25,270.597992,0,0,0,1123.6,2081.1,3.28,216.98
8/13/2015,1439424000,2.337,666,0.02,1.78,266.183014,0,0,0,1115.6,2086.19,3.3488,218.71
8/14/2015,1439510400,2.671,660,0.01,1.8,264.131989,0,0,0,1112.7,2083.15,3.2792,218.8
8/15/2015,1439596800,3.378,638,0.01,1.79,265.528992,0,0,0,1118.4,2089.7,3.3176,221.6
8/16/2015,1439683200,3.632,641,0,1.37,261.865997,0,0,0,1118.4,2089.7,3.3176,221.6
8/17/2015,1439769600,3.908,635,0,1.2,258.48999,0,0,0,1118.4,2089.7,3.3176,221.6
8/18/2015,1439856000,4.378,648,0.01,1.27,257.925995,0,0,0,1116.9,2101.99,3.28,217.73
8/19/2015,1439942400,4.42,653,0.01,1.26,225.671005,0,0,0,1127.9,2095.69,3.2568,218.62
8/20/2015,1440028800,4.469,650,0,1.48,226.899002,0,0,0,1153.2,2076.61,3.2,209.59
8/21/2015,1440115200,4.415,668,0,1.44,235.354996,0,0,0,1159.6,2034.08,3.2392,204
8/22/2015,1440201600,4.828,648,0.02,1.39,232.662003,0,0,0,1153.6,1965.15,3.0776,196.06
8/23/2015,1440288000,5.138,681,0,1.35,230.376007,0,0,0,1153.6,1965.15,3.0776,196.06
8/24/2015,1440374400,5.179,673,0,1.24,228.112,0,0,0,1153.6,1965.15,3.0776,196.06
8/25/2015,1440460800,5.173,680,0,1.17,210.067993,0,0,0,1138.3,1898.08,3.1872,196.03
8/26/2015,1440547200,5.587,669,0,1.16,222.076004,0,0,0,1124.6,1872.75,3.12,201.14
8/27/2015,1440633600,5.925,708,0,1.13,226.050003,0,0,0,1122.6,1942.77,3.1768,200.87
8/28/2015,1440720000,6.251,691,0,1.3,224.701004,0,0,0,1134,1986.06,3.232,200.99
8/29/2015,1440806400,6.658,682,0,1.18,231.548996,0,0,0,1132.5,1986.73,3.4,198.7
8/30/2015,1440892800,6.781,689,0,1.32,229.895004,0,0,0,1132.5,1986.73,3.4,198.7
8/31/2015,1440979200,7.214,731,0,1.35,229.113998,0,0,0,1132.5,1986.73,3.4,198.7
9/1/2015,1441065600,7.641,741,0,1.35,230.255997,0,0,0,1139.8,1970.09,3.28,196.04
9/2/2015,1441152000,8.284,766,0,1.29,228.026993,0,0,0,1133.6,1916.52,3.416,197.02
9/3/2015,1441238400,8.355,755,0,1.26,229.324005,0,0,0,1124.5,1950.79,3.36,198.37
9/4/2015,1441324800,6.47,762,0,1.27,227.214996,0,0,0,1121.4,1947.76,3.384,195.43
9/5/2015,1441411200,6.235,753,0,1.37,230.199005,0,0,0,1121.4,1927.3,3.424,201.25
9/6/2015,1441497600,6.305,733,0,1.3,234.869995,0,0,0,1121.4,1927.3,3.424,201.25
9/7/2015,1441584000,6.339,753,0,1.24,239.934006,0,0,0,1121.4,1927.3,3.424,201.25
9/8/2015,1441670400,6.077,759,0,1.23,239.845993,0,0,0,1121,1927.3,3.424,201.25
9/9/2015,1441756800,6.202,765,0,1.21,243.414993,0,0,0,1102,1971.45,3.3432,198.34
9/10/2015,1441843200,6.29,730,0,1.16,238.335999,0,0,0,1109.3,1941.59,3.2016,198.41
9/11/2015,1441929600,6.562,736,0,0.98,238.328995,0,0,0,1103.3,1951.45,3.3128,201.14
9/12/2015,1442016000,6.833,761,0,1.04,239.854996,0,0,0,1107.7,1963.06,3.2016,200.95
9/13/2015,1442102400,7.022,764,0,0.94,235.242004,0,0,0,1107.7,1963.06,3.2016,200.95
9/14/2015,1442188800,6.626,771,0,0.87,230.608994,0,0,0,1107.7,1963.06,3.2016,200.95
9/15/2015,1442275200,6.419,755,0,0.94,230.492004,0,0,0,1102.6,1955.1,3.2,207.95
9/16/2015,1442361600,6.179,739,0,0.9,230.25,0,0,0,1119,1978.02,3.096,209.87
9/17/2015,1442448000,6.04,753,0,0.89,229.076004,0,0,0,1117,1995.33,3.28,209.9
9/18/2015,1442534400,5.653,785,0,0.85,233.520996,0,0,0,1137.8,1989.66,3.28,206.68
9/19/2015,1442620800,5.548,735,0,0.89,232.858002,0,0,0,1132.8,1960.84,3.2272,208.5
9/20/2015,1442707200,6.202,766,0,0.94,231.399002,0,0,0,1132.8,1960.84,3.2272,208.5
