Date(UTC),UnixTimeStamp,Difficulty,BlockSize,TxFeeUSD,PriceBtcUsd,ERC20Transfer,ERC20Addr,GtrendsEth,Gold,SP500,TickerRIOT,TickerMSTR,PriceEthUsd
8/7/15,1438905600,1.471,633,0.05,278.740997,0,0,0,1094.1,2082.61,3.1288,215.61,2.77
8/8/15,1438992000,1.586,668,0.02,279.742004,0,0,0,1104.1,2080.98,3.2,218.85,0.81
8/9/15,1439078400,1.709,618,0.01,261.115997,0,0,0,1104.1,2080.98,3.2,218.85,0.74
8/10/15,1439164800,1.838,631,0.01,265.477997,0,0,0,1104.1,2080.98,3.2,218.85,0.68
8/11/15,1439251200,2.036,692,0,264.34201,0,0,0,1107.7,2102.66,3.28,215.41,1.06
8/12/15,1439337600,2.207,653,0.02,270.597992,0,0,0,1123.6,2081.1,3.28,216.98,1.25
8/13/15,1439424000,2.337,666,0.02,266.183014,0,0,0,1115.6,2086.19,3.3488,218.71,1.78
8/14/15,1439510400,2.671,660,0.01,264.131989,0,0,0,1112.7,2083.15,3.2792,218.8,1.8
8/15/15,1439596800,3.378,638,0.01,265.528992,0,0,0,1118.4,2089.7,3.3176,221.6,1.79
8/16/15,1439683200,3.632,641,0,261.865997,0,0,0,1118.4,2089.7,3.3176,221.6,1.37
8/17/15,1439769600,3.908,635,0,258.48999,0,0,0,1118.4,2089.7,3.3176,221.6,1.2
8/18/15,1439856000,4.378,648,0.01,257.925995,0,0,0,1116.9,2101.99,3.28,217.73,1.27
8/19/15,1439942400,4.42,653,0.01,225.671005,0,0,0,1127.9,2095.69,3.2568,218.62,1.26
8/20/15,1440028800,4.469,650,0,226.899002,0,0,0,1153.2,2076.61,3.2,209.59,1.48
8/21/15,1440115200,4.415,668,0,235.354996,0,0,0,1159.6,2034.08,3.2392,204,1.44
8/22/15,1440201600,4.828,648,0.02,232.662003,0,0,0,1153.6,1965.15,3.0776,196.06,1.39
8/23/15,1440288000,5.138,681,0,230.376007,0,0,0,1153.6,1965.15,3.0776,196.06,1.35
8/24/15,1440374400,5.179,673,0,228.112,0,0,0,1153.6,1965.15,3.0776,196.06,1.24
8/25/15,1440460800,5.173,680,0,210.067993,0,0,0,1138.3,1898.08,3.1872,196.03,1.17
8/26/15,1440547200,5.587,669,0,222.076004,0,0,0,1124.6,1872.75,3.12,201.14,1.16
8/27/15,1440633600,5.925,708,0,226.050003,0,0,0,1122.6,1942.77,3.1768,200.87,1.13
8/28/15,1440720000,6.251,691,0,224.701004,0,0,0,1134,1986.06,3.232,200.99,1.3
