Month,index
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,1
2016-03,2
2016-04,1
2016-05,2
2016-06,3
2016-07,2
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,5
2017-04,4
2017-05,18
2017-06,38
2017-07,21
2017-08,18
2017-09,14
2017-10,13
2017-11,24
2017-12,46
2018-01,43
2018-02,19
2018-03,12
2018-04,9
2018-05,9
2018-06,6
2018-07,5
2018-08,7
2018-09,5
2018-10,3
2018-11,4
2018-12,4
2019-01,3
2019-02,3
2019-03,2
2019-04,3
2019-05,4
2019-06,4
2019-07,5
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,3
2020-02,4
2020-03,3
2020-04,3
2020-05,4
2020-06,4
2020-07,4
2020-08,8
2020-09,4
2020-10,4
2020-11,10
2020-12,14
2021-01,44
2021-02,57
2021-03,35
2021-04,50
2021-05,100
2021-06,42
2021-07,29
2021-08,42
2021-09,37
2021-10,42
2021-11,49
2021-12,41
2022-01,38
2022-02,26
2022-03,22
2022-04,19
2022-05,0
