Date(UTC),Index
07/30/2015,0
07/31/2015,0
08/1/2015,0
08/2/2015,0
08/3/2015,0
08/4/2015,0
08/5/2015,0
08/6/2015,0
08/7/2015,0
08/8/2015,0
08/9/2015,0
08/10/2015,0
08/11/2015,0
08/12/2015,0
08/13/2015,0
08/14/2015,0
08/15/2015,0
08/16/2015,0
08/17/2015,0
08/18/2015,0
08/19/2015,0
08/20/2015,0
08/21/2015,0
08/22/2015,0
08/23/2015,0
08/24/2015,0
08/25/2015,0
08/26/2015,0
08/27/2015,0
08/28/2015,0
08/29/2015,0
08/30/2015,0
08/31/2015,0
09/1/2015,0
09/2/2015,0
09/3/2015,0
09/4/2015,0
09/5/2015,0
09/6/2015,0
09/7/2015,0
09/8/2015,0
09/9/2015,0
09/10/2015,0
09/11/2015,0
09/12/2015,0
09/13/2015,0
09/14/2015,0
09/15/2015,0
09/16/2015,0
09/17/2015,0
09/18/2015,0
09/19/2015,0
09/20/2015,0
09/21/2015,0
09/22/2015,0
09/23/2015,0
09/24/2015,0
09/25/2015,0
09/26/2015,0
09/27/2015,0
09/28/2015,0
09/29/2015,0
09/30/2015,0
10/1/2015,0
10/2/2015,0
10/3/2015,0
10/4/2015,0
10/5/2015,0
10/6/2015,0
10/7/2015,0
10/8/2015,0
10/9/2015,0
10/10/2015,0
10/11/2015,0
10/12/2015,0
10/13/2015,0
10/14/2015,0
10/15/2015,0
10/16/2015,0
10/17/2015,0
10/18/2015,0
10/19/2015,0
10/20/2015,0
10/21/2015,0
10/22/2015,0
10/23/2015,0
10/24/2015,0
10/25/2015,0
10/26/2015,0
10/27/2015,0
10/28/2015,0
10/29/2015,0
10/30/2015,0
10/31/2015,0
11/1/2015,0
11/2/2015,0
11/3/2015,0
11/4/2015,0
11/5/2015,0
11/6/2015,0
11/7/2015,0
11/8/2015,0
11/9/2015,0
11/10/2015,0
11/11/2015,0
11/12/2015,0
11/13/2015,0
11/14/2015,0
11/15/2015,0
11/16/2015,0
11/17/2015,0
11/18/2015,0
11/19/2015,0
11/20/2015,0
11/21/2015,0
11/22/2015,0
11/23/2015,0
11/24/2015,0
11/25/2015,0
11/26/2015,0
11/27/2015,0
11/28/2015,0
11/29/2015,0
11/30/2015,0
12/1/2015,0
12/2/2015,0
12/3/2015,0
12/4/2015,0
12/5/2015,0
12/6/2015,0
12/7/2015,0
12/8/2015,0
12/9/2015,0
12/10/2015,0
12/11/2015,0
12/12/2015,0
12/13/2015,0
12/14/2015,0
12/15/2015,0
12/16/2015,0
12/17/2015,0
12/18/2015,0
12/19/2015,0
12/20/2015,0
12/21/2015,0
12/22/2015,0
12/23/2015,0
12/24/2015,0
12/25/2015,0
12/26/2015,0
12/27/2015,0
12/28/2015,0
12/29/2015,0
12/30/2015,0
12/31/2015,0
01/1/2016,0
01/2/2016,0
01/3/2016,0
01/4/2016,0
01/5/2016,0
01/6/2016,0
01/7/2016,0
01/8/2016,0
01/9/2016,0
01/10/2016,0
01/11/2016,0
01/12/2016,0
01/13/2016,0
01/14/2016,0
01/15/2016,0
01/16/2016,0
01/17/2016,0
01/18/2016,0
01/19/2016,0
01/20/2016,0
01/21/2016,0
01/22/2016,0
01/23/2016,0
01/24/2016,0
01/25/2016,0
01/26/2016,0
01/27/2016,0
01/28/2016,0
01/29/2016,0
01/30/2016,0
01/31/2016,0
02/1/2016,1
02/2/2016,1
02/3/2016,1
02/4/2016,1
02/5/2016,1
02/6/2016,1
02/7/2016,1
02/8/2016,1
02/9/2016,1
02/10/2016,1
02/11/2016,1
02/12/2016,1
02/13/2016,1
02/14/2016,1
02/15/2016,1
02/16/2016,1
02/17/2016,1
02/18/2016,1
02/19/2016,1
02/20/2016,1
02/21/2016,1
02/22/2016,1
02/23/2016,1
02/24/2016,1
02/25/2016,1
02/26/2016,1
02/27/2016,1
02/28/2016,1
02/29/2016,1
03/1/2016,2
03/2/2016,2
03/3/2016,2
03/4/2016,2
03/5/2016,2
03/6/2016,2
03/7/2016,2
03/8/2016,2
03/9/2016,2
03/10/2016,2
03/11/2016,2
03/12/2016,2
03/13/2016,2
03/14/2016,2
03/15/2016,2
03/16/2016,2
03/17/2016,2
03/18/2016,2
03/19/2016,2
03/20/2016,2
03/21/2016,2
03/22/2016,2
03/23/2016,2
03/24/2016,2
03/25/2016,2
03/26/2016,2
03/27/2016,2
03/28/2016,2
03/29/2016,2
03/30/2016,2
03/31/2016,2
04/1/2016,1
04/2/2016,1
04/3/2016,1
04/4/2016,1
04/5/2016,1
04/6/2016,1
04/7/2016,1
04/8/2016,1
04/9/2016,1
04/10/2016,1
04/11/2016,1
04/12/2016,1
04/13/2016,1
04/14/2016,1
04/15/2016,1
04/16/2016,1
04/17/2016,1
04/18/2016,1
04/19/2016,1
04/20/2016,1
04/21/2016,1
04/22/2016,1
04/23/2016,1
04/24/2016,1
04/25/2016,1
04/26/2016,1
04/27/2016,1
04/28/2016,1
04/29/2016,1
04/30/2016,1
05/1/2016,2
05/2/2016,2
05/3/2016,2
05/4/2016,2
05/5/2016,2
05/6/2016,2
05/7/2016,2
05/8/2016,2
05/9/2016,2
05/10/2016,2
05/11/2016,2
05/12/2016,2
